Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unmatched_applicants,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0,6765.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,808.8226744186046,582.7674418604652,510.55232558139534,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,816.8546511627907,587.3546511627907,511.5813953488372,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
reviews_per_program,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,833.9127906976744,820.6191860465116,593.3953488372093,512.4476744186046,555.9418604651163,602.2703488372093,648.5988372093024,694.9273255813954,741.2558139534884,787.5843023255813
